name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event,in_pro_network,pro_network_misses,upcoming_events_count,source
PyData Rome,https://www.meetup.com/pydata-rome,pydata-rome,288,Roma,4.8,"Roma, Italia",41.8933203,12.4829321,Italia,9,,Egon Ferri,2026-06-05T07:00:00+02:00[Europe/Rome],True,https://www.meetup.com/pydata-rome/events/,https://www.meetup.com/pydata-rome/members/?op=leaders,71,False,0,0,
PyData Beograd,https://www.meetup.com/pydata-beograd,pydata-beograd,130,Belgrade,,"Belgrade, Србија",44.8153318,20.4456588,Србија,0,,,,False,https://www.meetup.com/pydata-beograd/events/,https://www.meetup.com/pydata-beograd/members/?op=leaders,,False,0,0,
PyData Cluj-Napoca,https://www.meetup.com/PyData-Cluj-Napoca,PyData-Cluj-Napoca,773,Cluj-Napoca,4.8,"Cluj-Napoca, România",46.769379,23.5899542,România,41,3,Sebastian Breştin,2026-07-24T04:00:00+03:00[Europe/Bucharest],True,https://www.meetup.com/PyData-Cluj-Napoca/events/,https://www.meetup.com/PyData-Cluj-Napoca/members/?op=leaders,23,True,0,0,
PyData Conakry,https://www.meetup.com/pydata-conakry,pydata-conakry,123,Conakry,,"Conakry, Guinée",9.5170602,-13.6998434,Guinée,0,,,,False,https://www.meetup.com/pydata-conakry/events/,https://www.meetup.com/pydata-conakry/members/?op=leaders,,False,0,0,
PyData Sibiu,https://www.meetup.com/pydata-sibiu-meetup-group,pydata-sibiu-meetup-group,204,Sibiu,4.9,"Sibiu, România",45.7973912,24.1519202,România,13,4,Iulian Cozma,2026-07-24T04:00:00+03:00[Europe/Bucharest],False,https://www.meetup.com/pydata-sibiu-meetup-group/events/,https://www.meetup.com/pydata-sibiu-meetup-group/members/?op=leaders,23,True,0,0,
PyData Belo Horizonte,https://www.meetup.com/PyData-Belo-Horizonte,PyData-Belo-Horizonte,1829,Belo Horizonte,4.8,"Belo Horizonte, Brasil",-19.9227318,-43.9450948,Brasil,46,5,Andre ROCHA,2026-07-24T04:00:00-03:00[America/Sao_Paulo],True,https://www.meetup.com/PyData-Belo-Horizonte/events/,https://www.meetup.com/PyData-Belo-Horizonte/members/?op=leaders,22,False,0,0,
PyData Skopje,https://www.meetup.com/PyData-Skopje,PyData-Skopje,959,Skopje,5.0,"Skopje, Северна Македонија",41.9961816,21.4319213,Северна Македонија,31,6,novica,2026-07-24T04:00:00+02:00[Europe/Skopje],True,https://www.meetup.com/PyData-Skopje/events/,https://www.meetup.com/PyData-Skopje/members/?op=leaders,23,True,0,0,
PyData São Paulo,https://www.meetup.com/PyData-Sao-Paulo,PyData-Sao-Paulo,8023,São Paulo,4.7,"São Paulo, Brasil",-23.5506507,-46.6333824,Brasil,74,,Ricardo Manhães Savii,2026-07-24T04:00:00-03:00[America/Sao_Paulo],True,https://www.meetup.com/PyData-Sao-Paulo/events/,https://www.meetup.com/PyData-Sao-Paulo/members/?op=leaders,22,False,0,0,
PyData Sofia,https://www.meetup.com/pydata-sofia,pydata-sofia,759,Sofia,4.5,"Sofia, България",42.6977028,23.3217359,България,28,6,Yasen Kiprov,2026-07-24T04:00:00+03:00[Europe/Sofia],True,https://www.meetup.com/pydata-sofia/events/,https://www.meetup.com/pydata-sofia/members/?op=leaders,23,True,0,0,
PyData Bucharest,https://www.meetup.com/pydata-bucharest,pydata-bucharest,27,Bucharest,,"Bucharest, România",44.4361414,26.102684,România,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+03:00[Europe/Bucharest],True,https://www.meetup.com/pydata-bucharest/events/,https://www.meetup.com/pydata-bucharest/members/?op=leaders,23,True,0,0,
PyData RJ,https://www.meetup.com/PyData-Rio,PyData-Rio,884,Rio de Janeiro,4.9,"Rio de Janeiro, Brasil",-22.9110137,-43.2093727,Brasil,14,,Marina Mattos,2026-07-24T04:00:00-03:00[America/Sao_Paulo],True,https://www.meetup.com/PyData-Rio/events/,https://www.meetup.com/PyData-Rio/members/?op=leaders,22,True,0,0,
PyData Piraeus,https://www.meetup.com/PyData-Piraeus,PyData-Piraeus,515,Piraieús,4.6,"Piraeus, Greece",37.9431594,23.6470593,Ελλάς,10,5,Vladimir Iurcovschi,2025-11-14T16:00:00+02:00[Europe/Athens],False,https://www.meetup.com/PyData-Piraeus/events/,https://www.meetup.com/PyData-Piraeus/members/?op=leaders,274,False,0,0,
PyData Athens,https://www.meetup.com/PyData-Athens,PyData-Athens,1245,Athens,4.6,"Athens, Ελλάς",37.9755648,23.7348324,Ελλάς,0,,,,True,https://www.meetup.com/PyData-Athens/events/,https://www.meetup.com/PyData-Athens/members/?op=leaders,,False,0,0,
PyData Turkiye,https://www.meetup.com/pydata-turkiye,pydata-turkiye,621,Istanbul,4.9,"Istanbul, Türkiye",41.006381,28.9758715,Türkiye,9,4,Hasan Özdemir,2026-07-24T04:00:00+03:00[Europe/Istanbul],True,https://www.meetup.com/pydata-turkiye/events/,https://www.meetup.com/pydata-turkiye/members/?op=leaders,23,True,0,0,
PyData Buenos Aires,https://www.meetup.com/pydata-buenos-aires,pydata-buenos-aires,574,Buenos Aires,4.9,"Buenos Aires, Argentina",-34.6095579,-58.3887904,Argentina,15,3,Javier Martinez,2026-08-14T00:00:00-03:00[America/Argentina/Buenos_Aires],True,https://www.meetup.com/pydata-buenos-aires/events/,https://www.meetup.com/pydata-buenos-aires/members/?op=leaders,2,True,0,0,
PyData Cyprus,https://www.meetup.com/PyData-Cyprus,PyData-Cyprus,1074,Lemesos,4.8,"Lemesos, Κύπρος - Kıbrıs",34.6852901,33.0332657,Κύπρος - Kıbrıs,46,6,Argyrou Argyris,2026-07-24T04:00:00+03:00[Asia/Nicosia],True,https://www.meetup.com/PyData-Cyprus/events/,https://www.meetup.com/PyData-Cyprus/members/?op=leaders,23,True,0,0,
PyData Yerevan,https://www.meetup.com/pydata-yerevan,pydata-yerevan,546,Yerevan,4.8,"Yerevan, Հայաստան",40.1777112,44.5126233,Հայաստան,34,5,Habet,2026-07-24T05:00:00+04:00[Asia/Yerevan],True,https://www.meetup.com/pydata-yerevan/events/,https://www.meetup.com/pydata-yerevan/members/?op=leaders,23,True,0,0,
PyData Lagos,https://www.meetup.com/pydata-lagos,pydata-lagos,3920,Lagos,4.6,"Lagos, Nigeria",6.4550575,3.3941795,Nigeria,28,5,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Africa/Lagos],True,https://www.meetup.com/pydata-lagos/events/,https://www.meetup.com/pydata-lagos/members/?op=leaders,23,True,0,1,
PyData Kaduna,https://www.meetup.com/PyData-Kaduna,PyData-Kaduna,538,Kaduna,,"Kaduna, Nigeria",10.5182899,7.4359863,Nigeria,12,3,Sanusi Dabo Lawal,2026-07-24T04:00:00+01:00[Africa/Lagos],True,https://www.meetup.com/PyData-Kaduna/events/,https://www.meetup.com/PyData-Kaduna/members/?op=leaders,23,True,0,0,
PyData Abuja,https://www.meetup.com/pydata-abuja,pydata-abuja,62,Abuja,,"Abuja, Nigeria",9.0643305,7.4892974,Nigeria,0,,,,True,https://www.meetup.com/pydata-abuja/events/,https://www.meetup.com/pydata-abuja/members/?op=leaders,,False,0,0,
PyData Tel Aviv,https://www.meetup.com/pydata-tel-aviv,pydata-tel-aviv,9766,Tel Aviv-Yafo,4.5,"Tel Aviv-Yafo, ישראל",32.0852997,34.7818064,ישראל,72,5,Iddo Berger,2026-07-24T04:00:00+03:00[Asia/Jerusalem],True,https://www.meetup.com/pydata-tel-aviv/events/,https://www.meetup.com/pydata-tel-aviv/members/?op=leaders,23,True,0,0,
PyData Bauchi,https://www.meetup.com/pydata-bauchi,pydata-bauchi,50,Bauchi,,"Bauchi, Nigeria",10.3147618,9.8454417,Nigeria,0,,,,False,https://www.meetup.com/pydata-bauchi/events/,https://www.meetup.com/pydata-bauchi/members/?op=leaders,,False,0,0,
PyData Warri,https://www.meetup.com/pydata-warri,pydata-warri,126,Warri,,"Warri, Nigeria",5.5186186,5.7480196,Nigeria,0,,,,False,https://www.meetup.com/pydata-warri/events/,https://www.meetup.com/pydata-warri/members/?op=leaders,,False,0,0,
PyData Ughelli,https://www.meetup.com/pydata-ughelli,pydata-ughelli,140,Ughelli,,"Ughelli, Nigeria",5.494188,5.995321,Nigeria,3,,"NumFOCUS, Inc.",2026-07-24T04:00:00+01:00[Africa/Lagos],True,https://www.meetup.com/pydata-ughelli/events/,https://www.meetup.com/pydata-ughelli/members/?op=leaders,23,True,0,0,
PyData Kuwait,https://www.meetup.com/kuwait-pydata-meetup-group,kuwait-pydata-meetup-group,257,al-Kuwayt,,"al-Kuwayt, الكويت",29.3796532,47.9734174,الكويت,9,5,,2026-07-24T04:00:00+03:00[Asia/Kuwait],True,https://www.meetup.com/kuwait-pydata-meetup-group/events/,https://www.meetup.com/kuwait-pydata-meetup-group/members/?op=leaders,23,True,0,0,
PyData Riyadh,https://www.meetup.com/PyDataRiyadh,PyDataRiyadh,3132,Riyadh,4.7,"Riyadh, السعودية",23.333333,45.333333,السعودية,0,,,,False,https://www.meetup.com/PyDataRiyadh/events/,https://www.meetup.com/PyDataRiyadh/members/?op=leaders,,False,0,0,
PyData Taipei,https://www.meetup.com/pydata-taipei,pydata-taipei,35,Taipei,,"Taipei, 臺灣",25.0375198,121.5636796,臺灣,6,,"NumFOCUS, Inc.",2026-07-24T04:00:00+08:00[Asia/Taipei],True,https://www.meetup.com/pydata-taipei/events/,https://www.meetup.com/pydata-taipei/members/?op=leaders,23,True,0,2,
PyData Jalandhar,https://www.meetup.com/PyData-Jalandhar,PyData-Jalandhar,1019,Jalandhar,4.2,"Jalandhar, India",31.2922312,75.5678878,India,13,,Suraj Mani,2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/PyData-Jalandhar/events/,https://www.meetup.com/PyData-Jalandhar/members/?op=leaders,23,True,0,0,
PyData Dubai meetup,https://www.meetup.com/pydata-dubai-meetup,pydata-dubai-meetup,1376,Dubai,4.8,"Dubai, الإمارات العربية المتحدة",25.0742823,55.1885387,الإمارات العربية المتحدة,16,6,"NumFOCUS, Inc.",2026-07-24T04:00:00+04:00[Asia/Dubai],True,https://www.meetup.com/pydata-dubai-meetup/events/,https://www.meetup.com/pydata-dubai-meetup/members/?op=leaders,23,False,0,0,
PyData Delhi,https://www.meetup.com/PyDataDelhi,PyDataDelhi,8949,Delhi,4.6,"Delhi, India",28.6138954,77.2090057,India,62,6,Sanket Verma,2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/PyDataDelhi/events/,https://www.meetup.com/PyDataDelhi/members/?op=leaders,23,True,0,0,
PyData Kathmandu,https://www.meetup.com/PyData-Kathmandu,PyData-Kathmandu,556,Kathmandu,,"Kathmandu, नेपाल",27.708317,85.3205817,नेपाल,7,3,Raj Kumar,2026-07-24T04:00:00+05:45[Asia/Kathmandu],True,https://www.meetup.com/PyData-Kathmandu/events/,https://www.meetup.com/PyData-Kathmandu/members/?op=leaders,23,True,0,0,
PyData Hong Kong,https://www.meetup.com/PyData-Hong-Kong,PyData-Hong-Kong,288,Hong Kong,4.6,"Hong Kong, 中国",22.3492155,114.1857978,中国,22,5,Howard Cheung,2026-07-24T04:00:00+08:00[Asia/Shanghai],True,https://www.meetup.com/PyData-Hong-Kong/events/,https://www.meetup.com/PyData-Hong-Kong/members/?op=leaders,23,True,0,0,
PyData Karachi,https://www.meetup.com/pydata-karachi,pydata-karachi,333,Karachi,,"Karachi, پاکستان",24.8546842,67.0207055,پاکستان,0,,,,False,https://www.meetup.com/pydata-karachi/events/,https://www.meetup.com/pydata-karachi/members/?op=leaders,,False,0,0,
PyData Indore,https://www.meetup.com/pydata-indore,pydata-indore,500,Indore,,"Indore, India",22.7203616,75.8681996,India,4,,Sumit S Chawla,2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/pydata-indore/events/,https://www.meetup.com/pydata-indore/members/?op=leaders,23,True,0,1,
Data Engineering Pilipinas - a PyData group,https://www.meetup.com/data-engineering-pilipinas,data-engineering-pilipinas,5807,Mandaluyong,4.6,"Mandaluyong, Philippines",14.5774392,121.0338973,Philippines,105,15,Michel Onasis S. Ogbinar,2026-08-15T11:00:00+08:00[Asia/Manila],True,https://www.meetup.com/data-engineering-pilipinas/events/,https://www.meetup.com/data-engineering-pilipinas/members/?op=leaders,1,True,0,3,
PyData Kampala,https://www.meetup.com/PyData-Kampala,PyData-Kampala,1264,Kampala,4.9,"Kampala, Uganda",0.3177137,32.5813539,Uganda,21,6,Ernest Kabahima,2026-07-24T04:00:00+03:00[Africa/Kampala],True,https://www.meetup.com/PyData-Kampala/events/,https://www.meetup.com/PyData-Kampala/members/?op=leaders,23,True,0,0,
PyData Mumbai,https://www.meetup.com/PyDataMumbai,PyDataMumbai,1412,Mumbai,4.5,"Mumbai, India",19.054999,72.8692035,India,41,,,2026-08-14T06:30:00+05:30[Asia/Kolkata],True,https://www.meetup.com/PyDataMumbai/events/,https://www.meetup.com/PyDataMumbai/members/?op=leaders,2,False,0,0,
PyData Chiang Mai,https://www.meetup.com/pydata-chiang-mai,pydata-chiang-mai,39,Chiang Mai,,"Chiang Mai, ประเทศไทย",18.7882778,98.9858802,ประเทศไทย,6,3,"NumFOCUS, Inc.",2026-07-24T04:00:00+07:00[Asia/Bangkok],True,https://www.meetup.com/pydata-chiang-mai/events/,https://www.meetup.com/pydata-chiang-mai/members/?op=leaders,23,True,0,0,
PyData Pune,https://www.meetup.com/pydata-pune,pydata-pune,5631,Pune,4.4,"Pune, India",18.5213738,73.8545071,India,50,,,2026-08-13T18:30:00+05:30[Asia/Kolkata],True,https://www.meetup.com/pydata-pune/events/,https://www.meetup.com/pydata-pune/members/?op=leaders,2,False,0,0,
PyData Nairobi,https://www.meetup.com/PyData-Nairobi,PyData-Nairobi,972,Nairobi,5.0,"Nairobi, Kenya",-1.3026148,36.828842,Kenya,13,,,2026-07-24T04:00:00+03:00[Africa/Nairobi],True,https://www.meetup.com/PyData-Nairobi/events/,https://www.meetup.com/PyData-Nairobi/members/?op=leaders,23,False,0,0,
PyData Brisbane,https://www.meetup.com/PyData-Brisbane,PyData-Brisbane,61,Brisbane,,"Brisbane, Australia",-27.365991,152.948963,Australia,0,,,,True,https://www.meetup.com/PyData-Brisbane/events/,https://www.meetup.com/PyData-Brisbane/members/?op=leaders,,False,0,0,
PyData Bangalore,https://www.meetup.com/pydata-bangalore,pydata-bangalore,3370,Bangalore,4.7,"Bangalore, India",12.9767936,77.590082,India,22,4,Vinayak Mehta,2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/pydata-bangalore/events/,https://www.meetup.com/pydata-bangalore/members/?op=leaders,23,True,0,0,
PyData OMR,https://www.meetup.com/pydata-omr,pydata-omr,2655,Chennai,3.9,"Chennai, India",13.0836939,80.270186,India,16,,,2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/pydata-omr/events/,https://www.meetup.com/pydata-omr/members/?op=leaders,23,True,0,0,
PyData Chennai,https://www.meetup.com/PyData-Chennai,PyData-Chennai,3378,Chennai,,"Chennai, India",13.0836939,80.270186,India,27,,"NumFOCUS, Inc.",2026-07-24T04:00:00+05:30[Asia/Kolkata],True,https://www.meetup.com/PyData-Chennai/events/,https://www.meetup.com/PyData-Chennai/members/?op=leaders,23,False,0,0,
PyData Tanzania,https://www.meetup.com/pydata-tanzania,pydata-tanzania,504,Dar es Salaam,,"Dar es Salaam, Tanzania",-6.8160837,39.2803583,"Tanzania, United Republic of",2,,Python Tanzania Secretariat,2025-08-11T05:00:00+03:00[Africa/Dar_es_Salaam],False,https://www.meetup.com/pydata-tanzania/events/,https://www.meetup.com/pydata-tanzania/members/?op=leaders,370,False,0,1,
PyData Cape Town,https://www.meetup.com/PyData-Cape-Town,PyData-Cape-Town,413,Cape Town,,"Cape Town, South Africa",-33.9288301,18.4172197,South Africa,9,4,Laura Richter,2026-07-24T04:00:00+02:00[Africa/Johannesburg],True,https://www.meetup.com/PyData-Cape-Town/events/,https://www.meetup.com/PyData-Cape-Town/members/?op=leaders,23,False,0,0,
PyData Sydney,https://www.meetup.com/PyData-Sydney,PyData-Sydney,2071,Sydney,4.4,"Sydney, Australia",-33.8698439,151.2082848,Australia,0,,,,True,https://www.meetup.com/PyData-Sydney/events/,https://www.meetup.com/PyData-Sydney/members/?op=leaders,,False,0,0,
PyData Johannesburg,https://www.meetup.com/pydata-johannesburg,pydata-johannesburg,2505,Johannesburg,4.7,"Johannesburg, South Africa",-26.205,28.049722,South Africa,42,3,"NumFOCUS, Inc.",2026-07-24T04:00:00+02:00[Africa/Johannesburg],True,https://www.meetup.com/pydata-johannesburg/events/,https://www.meetup.com/pydata-johannesburg/members/?op=leaders,23,True,0,0,
PyData Sri Lanka,https://www.meetup.com/colombo-pydata-meetup-group,colombo-pydata-meetup-group,365,Colombo,4.5,"Colombo, Sri Lanka",6.9388614,79.8542005,Sri Lanka,4,6,samujitha.senaratne,2026-07-24T04:00:00+05:30[Asia/Colombo],True,https://www.meetup.com/colombo-pydata-meetup-group/events/,https://www.meetup.com/colombo-pydata-meetup-group/members/?op=leaders,23,True,0,0,
PyData Kuala Lumpur,https://www.meetup.com/PyDataKL,PyDataKL,322,Kuala Lumpur,4.1,"Kuala Lumpur, Malaysia",3.1516964,101.6942371,Malaysia,13,,Hong Vin Koay,2026-07-24T04:00:00+08:00[Asia/Kuala_Lumpur],True,https://www.meetup.com/PyDataKL/events/,https://www.meetup.com/PyDataKL/members/?op=leaders,23,False,3,0,
PyData Singapore,https://www.meetup.com/PyData-SG,PyData-SG,5689,Singapore,4.5,"Singapore, Singapore",1.357107,103.8194992,Singapore,59,7,Prasanta B.,2026-06-05T07:00:00+08:00[Asia/Singapore],True,https://www.meetup.com/PyData-SG/events/,https://www.meetup.com/PyData-SG/members/?op=leaders,72,True,0,0,
PyData Melbourne,https://www.meetup.com/pydata-melbourne,pydata-melbourne,204,Melbourne,4.9,"Melbourne, Australia",-37.8142454,144.9631732,Australia,1,,Shashank Shekhar,2025-07-28T07:30:00+10:00[Australia/Melbourne],False,https://www.meetup.com/pydata-melbourne/events/,https://www.meetup.com/pydata-melbourne/members/?op=leaders,384,True,0,0,
PyData Mauritius,https://www.meetup.com/pydata-mu,pydata-mu,119,Riviere du Rempart,,"Riviere du Rempart, Mauritius / Maurice",-20.0669942,57.65063,Mauritius / Maurice,5,3,Aditya Bholah,2026-07-25T10:00:00+04:00[Indian/Mauritius],True,https://www.meetup.com/pydata-mu/events/,https://www.meetup.com/pydata-mu/members/?op=leaders,21,True,0,0,
PyData Tokyo,https://www.meetup.com/pydata-tokyo,pydata-tokyo,428,Tokyo,4.6,"Tokyo, 日本",35.6768601,139.7638947,日本,7,5,"NumFOCUS, Inc.",2025-06-06T07:00:00+09:00[Asia/Tokyo],False,https://www.meetup.com/pydata-tokyo/events/,https://www.meetup.com/pydata-tokyo/members/?op=leaders,436,False,0,0,
PyData Abu Dhabi,https://www.meetup.com/pydata-abu-dhabi,pydata-abu-dhabi,186,Abu Dhabi,,"Abu Dhabi, الإمارات العربية المتحدة",24.4538352,54.3774014,الإمارات العربية المتحدة,4,,Dr. Mamdouh Barakat,2025-02-11T08:00:00+04:00[Asia/Dubai],False,https://www.meetup.com/pydata-abu-dhabi/events/,https://www.meetup.com/pydata-abu-dhabi/members/?op=leaders,550,False,0,0,
PyData Krakow,https://www.meetup.com/pydata-krakow,pydata-krakow,1306,Kraków,4.8,"Kraków, Polska",50.0469432,19.9971534,Polska,44,3,Maciej Majewski,2025-06-06T07:00:00+02:00[Europe/Warsaw],False,https://www.meetup.com/pydata-krakow/events/,https://www.meetup.com/pydata-krakow/members/?op=leaders,435,False,0,0,
PyData Vilnius,https://www.meetup.com/pydata-vilnius,pydata-vilnius,469,Vilnius,4.7,"Vilnius, Lietuva",54.6870458,25.2829111,Lietuva,6,6,Inga Pliavgo,2025-12-04T16:00:00+02:00[Europe/Vilnius],False,https://www.meetup.com/pydata-vilnius/events/,https://www.meetup.com/pydata-vilnius/members/?op=leaders,254,False,0,0,
PyData Poznan,https://www.meetup.com/pydata-poznan,pydata-poznan,221,Poznań,4.8,"Poznań, Polska",52.4006632,16.9197326,Polska,8,,Piotr Trojanowski,2025-12-04T17:00:00+01:00[Europe/Warsaw],False,https://www.meetup.com/pydata-poznan/events/,https://www.meetup.com/pydata-poznan/members/?op=leaders,254,False,0,0,
PyData Basel,https://www.meetup.com/pydata-basel,pydata-basel,177,Basel,4.8,"Basel, Schweiz",47.5581077,7.5878261,Schweiz/Suisse/Svizzera/Svizra,6,4,Julien Denos,2023-10-25T17:00:00+02:00[Europe/Zurich],False,https://www.meetup.com/pydata-basel/events/,https://www.meetup.com/pydata-basel/members/?op=leaders,1025,False,0,0,
PyData Lausanne,https://www.meetup.com/pydata-lausanne/,pydata-lausanne,715,Lausanne,4.8,"Lausanne, Schweiz",46.5218269,6.6327025,Schweiz/Suisse/Svizzera/Svizra,26,4,Julien Denos,2026-04-28T16:30:00+02:00[Europe/Zurich],False,https://www.meetup.com/pydata-lausanne/events/,https://www.meetup.com/pydata-lausanne/members/?op=leaders,109,False,0,0,
PyData Osaka,https://pydata.org/osaka,,,Osaka,,,34.6937,135.5023,Japan,0,,,,,https://pydata.org/osaka/events/,https://pydata.org/osaka/members/?op=leaders,,False,0,0,discord
PyData Vermont,https://pydata.org/vermont2025,,,Burlington,,,44.4759,-73.2121,United States,0,,,,,https://pydata.org/vermont2025/events/,https://pydata.org/vermont2025/members/?op=leaders,,False,0,0,conference
PyData Osaka,https://osaka.pydata.org/,,,Osaka,,,34.6937,135.5023,Japan,0,,,,,https://osaka.pydata.org/events/,https://osaka.pydata.org/members/?op=leaders,,False,0,0,discord
PyData Northen Utah,https://huntsman.usu.edu/clubs/pydata,,,Logan,,,41.7369,-111.8338, United States,0,,,,,https://huntsman.usu.edu/clubs/pydata/events/,https://huntsman.usu.edu/clubs/pydata/members/?op=leaders,,False,0,0,university
PyData Northern Utah,https://www.meetup.com/pydata-northern-utah,pydata-northern-utah,115,Logan,,Northern Utah,41.8121497,-111.8117671,United States,14,3,Marc Dotson,2026-07-24T04:00:00-06:00[America/Denver],,https://www.meetup.com/pydata-northern-utah/events/,https://www.meetup.com/pydata-northern-utah/members/?op=leaders,22,True,0,0,
PyData Manaus,https://github.com/pydatamanaus,,,Manaus,,,-3.119,-60.0217,Brasil,0,,,,,https://github.com/pydatamanaus/events/,https://github.com/pydatamanaus/members/?op=leaders,,False,0,0,github
PyData Jaipur,https://www.meetup.com/pydata-jaipur,pydata-jaipur,6,New group,,Jaipur,26.9154576,75.8189817,India,0,,,,,https://www.meetup.com/pydata-jaipur/events/,https://www.meetup.com/pydata-jaipur/members/?op=leaders,,True,0,0,
PyData San Diego,https://www.meetup.com/pydata-san-diego,pydata-san-diego,10,New group,,San Diego,32.7174202,-117.162772,United States,0,,Justin Stevens,,,https://www.meetup.com/pydata-san-diego/events/,https://www.meetup.com/pydata-san-diego/members/?op=leaders,,True,0,0,
PyData Prayagraj,https://www.meetup.com/pydata-prayagraj,pydata-prayagraj,18,New group,,Prayagraj,25.4381302,81.8338005,India,0,,Priyankar Shukla,,,https://www.meetup.com/pydata-prayagraj/events/,https://www.meetup.com/pydata-prayagraj/members/?op=leaders,,True,0,0,
